topology,n_pairs,seed,strategy,n_requests,throughput,throughput_ratio,purification_cost,resource_consumption_ratio
chain_8,4,11,threshold,4,1,0.25,20,20.0
chain_8,4,11,greedy,4,1,0.25,22,22.0
chain_8,4,11,psc,4,1,0.25,12,12.0
chain_8,4,12,threshold,4,3,0.75,12,4.0
chain_8,4,12,greedy,4,3,0.75,16,5.333333333333333
chain_8,4,12,psc,4,3,0.75,10,3.3333333333333335
chain_8,4,13,threshold,4,1,0.25,14,14.0
chain_8,4,13,greedy,4,1,0.25,16,16.0
chain_8,4,13,psc,4,1,0.25,6,6.0
chain_8,4,14,threshold,4,1,0.25,20,20.0
chain_8,4,14,greedy,4,1,0.25,22,22.0
chain_8,4,14,psc,4,1,0.25,10,10.0
chain_8,4,15,threshold,4,1,0.25,20,20.0
chain_8,4,15,greedy,4,1,0.25,22,22.0
chain_8,4,15,psc,4,1,0.25,12,12.0
chain_8,8,11,threshold,8,1,0.125,42,42.0
chain_8,8,11,greedy,8,1,0.125,42,42.0
chain_8,8,11,psc,8,1,0.125,14,14.0
chain_8,8,12,threshold,8,3,0.375,38,12.666666666666666
chain_8,8,12,greedy,8,3,0.375,38,12.666666666666666
chain_8,8,12,psc,8,3,0.375,14,4.666666666666667
chain_8,8,13,threshold,8,2,0.25,26,13.0
chain_8,8,13,greedy,8,2,0.25,30,15.0
chain_8,8,13,psc,8,2,0.25,10,5.0
chain_8,8,14,threshold,8,3,0.375,26,8.666666666666666
chain_8,8,14,greedy,8,3,0.375,30,10.0
chain_8,8,14,psc,8,3,0.375,10,3.3333333333333335
chain_8,8,15,threshold,8,3,0.375,32,10.666666666666666
chain_8,8,15,greedy,8,3,0.375,36,12.0
chain_8,8,15,psc,8,3,0.375,12,4.0
chain_8,12,11,threshold,12,2,0.16666666666666666,42,21.0
chain_8,12,11,greedy,12,2,0.16666666666666666,42,21.0
chain_8,12,11,psc,12,2,0.16666666666666666,14,7.0
chain_8,12,12,threshold,12,3,0.25,42,14.0
chain_8,12,12,greedy,12,3,0.25,42,14.0
chain_8,12,12,psc,12,3,0.25,14,4.666666666666667
chain_8,12,13,threshold,12,5,0.4166666666666667,28,5.6
chain_8,12,13,greedy,12,5,0.4166666666666667,32,6.4
chain_8,12,13,psc,12,5,0.4166666666666667,10,2.0
chain_8,12,14,threshold,12,3,0.25,32,10.666666666666666
chain_8,12,14,greedy,12,3,0.25,34,11.333333333333334
chain_8,12,14,psc,12,3,0.25,12,4.0
chain_8,12,15,threshold,12,3,0.25,36,12.0
chain_8,12,15,greedy,12,3,0.25,38,12.666666666666666
chain_8,12,15,psc,12,3,0.25,14,4.666666666666667
grid_4x4,4,11,threshold,4,1,0.25,14,14.0
grid_4x4,4,11,greedy,4,1,0.25,16,16.0
grid_4x4,4,11,psc,4,1,0.25,14,14.0
grid_4x4,4,12,threshold,4,1,0.25,26,26.0
grid_4x4,4,12,greedy,4,1,0.25,26,26.0
grid_4x4,4,12,psc,4,1,0.25,20,20.0
grid_4x4,4,13,threshold,4,3,0.75,8,2.6666666666666665
grid_4x4,4,13,greedy,4,3,0.75,14,4.666666666666667
grid_4x4,4,13,psc,4,3,0.75,8,2.6666666666666665
grid_4x4,4,14,threshold,4,0,0.0,26,
grid_4x4,4,14,greedy,4,0,0.0,26,
grid_4x4,4,14,psc,4,0,0.0,18,
grid_4x4,4,15,threshold,4,0,0.0,26,
grid_4x4,4,15,greedy,4,0,0.0,26,
grid_4x4,4,15,psc,4,0,0.0,20,
grid_4x4,8,11,threshold,8,3,0.375,24,8.0
grid_4x4,8,11,greedy,8,3,0.375,30,10.0
grid_4x4,8,11,psc,8,3,0.375,14,4.666666666666667
grid_4x4,8,12,threshold,8,2,0.25,46,23.0
grid_4x4,8,12,greedy,8,2,0.25,50,25.0
grid_4x4,8,12,psc,8,1,0.125,20,20.0
grid_4x4,8,13,threshold,8,5,0.625,20,4.0
grid_4x4,8,13,greedy,8,5,0.625,28,5.6
grid_4x4,8,13,psc,8,5,0.625,16,3.2
grid_4x4,8,14,threshold,8,1,0.125,44,44.0
grid_4x4,8,14,greedy,8,1,0.125,48,48.0
grid_4x4,8,14,psc,8,1,0.125,14,14.0
grid_4x4,8,15,threshold,8,1,0.125,40,40.0
grid_4x4,8,15,greedy,8,1,0.125,42,42.0
grid_4x4,8,15,psc,8,1,0.125,14,14.0
grid_4x4,12,11,threshold,12,3,0.25,44,14.666666666666666
grid_4x4,12,11,greedy,12,3,0.25,50,16.666666666666668
grid_4x4,12,11,psc,12,3,0.25,14,4.666666666666667
grid_4x4,12,12,threshold,12,3,0.25,66,22.0
grid_4x4,12,12,greedy,12,3,0.25,70,23.333333333333332
grid_4x4,12,12,psc,12,2,0.16666666666666666,14,7.0
grid_4x4,12,13,threshold,12,5,0.4166666666666667,40,8.0
grid_4x4,12,13,greedy,12,5,0.4166666666666667,48,9.6
grid_4x4,12,13,psc,12,5,0.4166666666666667,10,2.0
grid_4x4,12,14,threshold,12,1,0.08333333333333333,72,72.0
grid_4x4,12,14,greedy,12,1,0.08333333333333333,76,76.0
grid_4x4,12,14,psc,12,1,0.08333333333333333,16,16.0
grid_4x4,12,15,threshold,12,2,0.16666666666666666,50,25.0
grid_4x4,12,15,greedy,12,2,0.16666666666666666,54,27.0
grid_4x4,12,15,psc,12,2,0.16666666666666666,12,6.0
